Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,lat,lon
3,3,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",245,4000000, Cairo,Egypt,buy,62920000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
3,3,"The Water Way, North Investors Area, New Cairo City, Cairo",230,5250000, Cairo,Egypt,buy,82582500.0,Apartment, New Cairo City,30.02012785,31.498220627134504
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",278,2750000, Cairo,Egypt,buy,43257500.0,iVilla, New Cairo City,30.06310285,31.45544747510749
4,2,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",171,3700000, Cairo,Egypt,buy,58201000.0,Apartment, New Cairo City,30.02012785,31.498220627134504
5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",391,10250000, Cairo,Egypt,buy,161232500.0,Villa, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",253,7500000, Cairo,Egypt,buy,117975000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,2,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",155,1425000, Cairo,Egypt,buy,22415250.0,Apartment, New Cairo City,30.06310285,31.45544747510749
7,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",520,18400000, Cairo,Egypt,buy,289432000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",200,5000000, Cairo,Egypt,buy,78650000.0,Apartment, New Cairo City,30.02012785,31.498220627134504
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,3000000, Cairo,Egypt,buy,47190000.0,iVilla, New Cairo City,30.06310285,31.45544747510749
2,2,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",140,1985000, Cairo,Egypt,buy,31224050.0,Apartment, New Cairo City,30.06310285,31.45544747510749
5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",590,9000000, Cairo,Egypt,buy,141570000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",357,6200000, Cairo,Egypt,buy,97526000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",233,3800000, Cairo,Egypt,buy,59774000.0,Duplex, New Cairo City,30.06310285,31.45544747510749
2,2,"Emaar Road, Nadi Al Sekka Al Hadid, Nasr City, Cairo",115,1150000, Cairo,Egypt,buy,18089500.0,Apartment, Nasr City,30.0521177,31.3422045
2,2,"Marassi, Sidi Abdel Rahman, North Coast",124,3912388, North Coast,Egypt,buy,61541863.24,Apartment, Sidi Abdel Rahman,0.0,0.0
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",347,9500000, Cairo,Egypt,buy,149435000.0,Villa, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",330,7000000, Cairo,Egypt,buy,110110000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
2,2,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",160,1550000, Cairo,Egypt,buy,24381500.0,Apartment, New Cairo City,30.06310285,31.45544747510749
5,6,"Swan Lake, Qesm Ad Dabaah, North Coast",600,8000000, North Coast,Egypt,buy,125840000.0,Villa, Qesm Ad Dabaah,0.0,0.0
5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",350,6800000, Cairo,Egypt,buy,106964000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
3,4,"Pyramids Heights, Cairo Alexandria Desert Road, 6 October City, Giza",310,2500000, Giza,Egypt,buy,39325000.0,Penthouse, 6 October City,30.1176285,31.367206
2,2,"Regents Park, Al Andalus District, New Cairo City, Cairo",137,21800000, Cairo,Egypt,buy,342914000.0,Apartment, New Cairo City,30.02012785,31.498220627134504
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",320,6400000, Cairo,Egypt,buy,100672000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
2,3,"Midtown, South Investors Area, New Cairo City, Cairo",225,2650000, Cairo,Egypt,buy,41684500.0,Apartment, New Cairo City,30.02012785,31.498220627134504
3,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,5300000, Cairo,Egypt,buy,83369000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
2,3,"Fifth Square, North Investors Area, New Cairo City, Cairo",135,2550000, Cairo,Egypt,buy,40111500.0,Apartment, New Cairo City,30.02012785,31.498220627134504
7,5,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",620,13400000, Cairo,Egypt,buy,210782000.0,Villa, New Cairo City,30.02012785,31.498220627134504
5,5,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",560,10750000, Cairo,Egypt,buy,169097500.0,Villa, New Cairo City,30.02012785,31.498220627134504
5,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",307,6000000, Cairo,Egypt,buy,94380000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
2,2,"Azha, Al Ain Al Sokhna, Suez",100,2400000, Suez,Egypt,buy,37752000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,5650000, Cairo,Egypt,buy,88874500.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
3,3,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",290,4600000, Cairo,Egypt,buy,72358000.0,Villa, New Cairo City,30.06310285,31.45544747510749
2,2,"Azha, Al Ain Al Sokhna, Suez",100,1670000, Suez,Egypt,buy,26269100.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",330,6500000, Cairo,Egypt,buy,102245000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
