Baths,Beds,Location,Square Meter,base_price,city,country,page,property_type,sub_div
2,2,"Sarayat Al Maadi, Hay El Maadi, Cairo",160,26000, Cairo,egypt,rent,Apartment, Hay El Maadi
4,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,27000, Cairo,egypt,rent,Duplex, New Cairo City
2,2,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",220,62000, Cairo,egypt,rent,Apartment, New Cairo City
4,3,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",220,40000, Cairo,egypt,rent,Apartment, New Cairo City
6,7,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",650,148000, Cairo,egypt,rent,Villa, New Cairo City
2,1,"Mohamed Mazhar St., Zamalek, Cairo",150,32000, Cairo,egypt,rent,Apartment, Zamalek
2,3,"El Gezirah St., Zamalek, Cairo",200,36000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Nagib Al Rehani St., Rehab City Third Phase, Al Rehab, New Cairo City, Cairo",180,15000, Cairo,egypt,rent,Apartment, New Cairo City
2,2,"Ahmed Heshmat St., Zamalek, Cairo",180,43000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"West Golf, El Katameya Compounds, El Katameya, New Cairo City, Cairo",300,48000, Cairo,egypt,rent,Penthouse, New Cairo City
5,4,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",485,70000, Cairo,egypt,rent,Villa, New Cairo City
3,4,"The Sierras, Uptown Cairo, Mokattam, Cairo",282,16000, Cairo,egypt,rent,Duplex, Mokattam
2,2,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",150,25000, Cairo,egypt,rent,Apartment, New Cairo City
4,4,"Mohamed Anis St., Zamalek, Cairo",300,61000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Ibn Zinky St., Zamalek, Cairo",200,40000, Cairo,egypt,rent,Apartment, Zamalek
3,4,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",320,28000, Giza,egypt,rent,Townhouse, Sheikh Zayed City
3,3,"Amin Yehia St., Zezenia, Hay Sharq, Alexandria",300,32000, Alexandria,egypt,rent,Apartment, Hay Sharq
3,3,"El Gezirah St., Zamalek, Cairo",300,64000, Cairo,egypt,rent,Apartment, Zamalek
3,2,"Mohamed Maraashly St., Zamalek, Cairo",250,45000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Al Gabalaya St., Zamalek, Cairo",220,48000, Cairo,egypt,rent,Apartment, Zamalek
2,3,"Zayed Dunes, 6th District, Sheikh Zayed City, Giza",134,12000, Giza,egypt,rent,Apartment, Sheikh Zayed City
3,3,"Shagaret Al Dor St., Zamalek, Cairo",250,47000, Cairo,egypt,rent,Apartment, Zamalek
4,4,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",308,100000, Cairo,egypt,rent,Twin House, New Cairo City
4,5,"Arabella, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",550,104000, Cairo,egypt,rent,Villa, New Cairo City
3,3,"Street 206, Degla, Hay El Maadi, Cairo",300,48500, Cairo,egypt,rent,Penthouse, Hay El Maadi
2,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",230,20000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",215,18000, Cairo,egypt,rent,Apartment, New Cairo City
4,4,"Arabella, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",600,60000, Cairo,egypt,rent,Twin House, New Cairo City
4,4,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",360,50000, Cairo,egypt,rent,Duplex, New Cairo City
3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",209,12000, Cairo,egypt,rent,Apartment, New Cairo City
2,2,"Mohamed Mazhar St., Zamalek, Cairo",120,32000, Cairo,egypt,rent,Apartment, Zamalek
5,4,"Street 216, Degla, Hay El Maadi, Cairo",400,80000, Cairo,egypt,rent,Penthouse, Hay El Maadi
3,4,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",330,30000, Giza,egypt,rent,Townhouse, Sheikh Zayed City
3,4,"Sarayat Al Maadi, Hay El Maadi, Cairo","1,050",55000, Cairo,egypt,rent,Villa, Hay El Maadi
3,3,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",264,25000, Giza,egypt,rent,Apartment, 6 October City
5,4,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",805,64000, Cairo,egypt,rent,Villa, New Cairo City
5,4,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",390,45000, Cairo,egypt,rent,Townhouse, New Cairo City
2,2,"Mohamed Mazhar St., Zamalek, Cairo",120,24000, Cairo,egypt,rent,Apartment, Zamalek
2,2,"Taha Hussein St., Zamalek, Cairo",160,39000, Cairo,egypt,rent,Apartment, Zamalek
2,2,"Al Kamel Mohamed St., Zamalek, Cairo",150,73500, Cairo,egypt,rent,Apartment, Zamalek
4,5,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",740,92000, Cairo,egypt,rent,Villa, New Cairo City
1,1,"Mohamed Maraashly St., Zamalek, Cairo",75,21000, Cairo,egypt,rent,Apartment, Zamalek
2,2,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",150,16000, Cairo,egypt,rent,Apartment, New Cairo City
3,3,"Levana, Uptown Cairo, Mokattam, Cairo",310,27000, Cairo,egypt,rent,Twin House, Mokattam
